date,card_en,card_zh,grading_company,grade,psa_grade,price_usd,price_twd,exchange_rate,source,source_platform,listed_price_usd,actual_price_usd,original_price_display,sale_type,owned,url,source_url,data_origin,reconciled_from,rate_basis
2026-07-26,Ninetales,九尾,PSA,8,PSA 8,765,24709,32.3,eBay,eBay via 130point,765,765,$765.00 USD,Fixed Price,,https://ebay.com/itm/137430706379?nordt=true,https://ebay.com/itm/137430706379?nordt=true,combined_graded.xlsx,price_history.csv (2026-07-26),existing price_history.csv rate for date
2026-07-26,Magikarp,鯉魚王,PSA,10,PSA 10,3050,98515,32.3,eBay,eBay,,3050,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-26,Pikachu (Jungle),2000叢林皮卡丘,PSA,8,PSA 8,27.6,891,32.3,Fanatics,Fanatics,,27.6,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-26,Pikachu (Jungle),2000叢林皮卡丘,PSA,10,PSA 10,525,16958,32.3,Fanatics,Fanatics,,525,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-25,Blastoise,水箭龜,PSA,8,PSA 8,1713,55330,32.3,eBay,eBay,,1713,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-25,Zapdos,閃電鳥,PSA,8,PSA 8,610,19703,32.3,eBay,eBay,,610,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-26,Ninetales,九尾,PSA,8,PSA 8,798.88,25804,32.3,eBay,eBay,,798.88,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-25,Mew,2006 傳說締造者 夢幻,PSA,9,PSA 9,204,6589,32.3,eBay,eBay,,204,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-25,Pikachu (Jungle),2000叢林皮卡丘,PSA,10,PSA 10,640,20672,32.3,eBay,eBay,,640,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-24,Mewtwo,超夢,PSA,9,PSA 9,3038,98127,32.3,eBay,eBay,,3038,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-24,Magikarp,鯉魚王,PSA,9,PSA 9,136,4393,32.3,eBay,eBay,,136,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-19,Bulbasaur,妙蛙種子,PSA,9,PSA 9,98,3165,32.3,Fanatics,Fanatics,,98,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-19,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,65,2100,32.3,Fanatics,Fanatics,,65,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-18,Pikachu (Jungle),2000叢林皮卡丘,PSA,9,PSA 9,112,3618,32.3,eBay,eBay,,112,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-12,Mew,2006 傳說締造者 夢幻,PSA,9,PSA 9,203,6557,32.3,eBay,eBay,,203,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-11,Pikachu,皮卡丘,PSA,7,PSA 7,250,8075,32.3,eBay,eBay via 130point,250,250,$250.00 USD,Fixed Price,,https://ebay.com/itm/137497386723?nordt=true,https://ebay.com/itm/137497386723?nordt=true,combined_graded.xlsx,price_history.csv (2026-07-11),existing price_history.csv rate for date
2026-07-11,Mew EX,2006 傳說締造者 夢幻EX,BGS,9,BGS 9,561,18120,32.3,eBay,eBay,,561,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-11,Pikachu (Jungle),2000叢林皮卡丘,PSA,8,PSA 8,74,2390,32.3,eBay,eBay,,74,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-06,Pikachu (Jungle),2000叢林皮卡丘,PSA,10,PSA 10,610,19703,32.3,eBay,eBay,,610,,,,,,price_history.csv,,existing price_history.csv rate for date
2026-07-05,Pikachu (Jungle),2000叢林皮卡丘,PSA,10,PSA 10,692,22352,32.3,eBay,eBay,,692,,,,,,price_history.csv,,existing price_history.csv rate for date
